Year,ID,,,,
2016,600408,,,,
2016,600319,,,,
2016,600228,,,,
2016,600696,,,,
2016,600301,,,,
2016,600753,,,,
2016,600546,,,,
2016,000595,,,,
2016,600596,,,,
2016,000800,,,,
2016,002490,,,,
2016,002800,,,,
2016,600610,,,,
2016,000798,,,,
2016,600680,,,,
2016,600581,,,,
2016,600806,,,,
2016,601558,,,,
2016,600421,,,,
2016,600800,,,,
2016,600891,,,,
2016,600247,,,,
2016,600401,,,,
2016,600576,,,,
2016,600654,,,,
2016,600677,,,,
2016,600747,,,,
2016,000010,,,,
2016,000403,,,,
2016,000693,,,,
2016,000506,,,,
2016,000611,,,,
2016,000691,,,,
2016,000788,,,,
2016,000982,,,,
2015,000892,,,,
2015,600753,,,,
2015,600793,,,,
2015,000595,,,,
2015,600228,,,,
2015,600301,,,,
2015,600710,,,,
2015,600575,,,,
2015,600403,,,,
2015,600742,,,,
2015,600810,,,,
2015,601558,,,,
2015,000017,,,,
2015,603227,,,,
2015,000403,,,,
2015,600421,,,,
2015,000518,,,,
2015,000526,,,,
2015,000155,,,,
2015,000788,,,,
2015,600078,,,,
2015,600146,,,,
2015,000798,,,,
2015,000670,,,,
2015,600546,,,,
2015,600281,,,,
2015,600331,,,,
2015,600656,,,,
2015,000611,,,,
2015,000020,,,,
2015,000511,,,,
2015,000693,,,,
2015,600822,,,,
2014,600779,,,,
2014,600228,,,,
2014,600656,,,,
2014,600870,,,,
2014,600193,,,,
2014,600822,,,,
2014,000815,,,,
2014,600401,,,,
2014,600546,,,,
2014,600421,,,,
2014,600408,,,,
2014,600145,,,,
2014,000033,,,,
2014,600319,,,,
2014,000017,,,,
2014,600301,,,,
2014,000048,,,,
2014,600091,,,,
2014,000611,,,,
2014,600385,,,,
2014,000568,,,,
2014,000155,,,,
2014,601518,,,,
2014,000504,,,,
2014,000788,,,,
2014,601901,,,,
2014,600567,,,,
2014,600575,,,,
2014,000892,,,,
2014,601268,,,,
2014,000982,,,,
2014,600710,,,,
2014,600186,,,,
2014,600247,,,,
2014,000594,,,,
2014,000673,,,,
2014,000403,,,,
2014,601558,,,,
2014,600403,,,,
2014,600671,,,,
2014,600696,,,,
2014,600234,,,,
2014,600539,,,,
2014,600146,,,,
2014,000668,,,,
2013,600228,,,,
2013,600689,,,,
2013,000815,,,,
2013,600822,,,,
2013,000504,,,,
2013,600598,,,,
2013,600368,,,,
2013,600301,,,,
2013,600319,,,,
2013,000048,,,,
2013,601558,,,,
2013,000913,,,,
2013,600087,,,,
2013,000520,,,,
2013,000982,,,,
2013,600186,,,,
2013,600403,,,,
2013,600691,,,,
2013,600800,,,,
2013,600539,,,,
2013,600076,,,,
2012,600539,,,,
2012,000520,,,,
2012,600800,,,,
2012,600087,,,,
2012,000048,,,,
2012,600598,,,,
2017,601880,,,,
2017,600289,,,,
2017,600532,,,,
2017,600165,,,,
2017,600172,,,,
2017,600313,,,,
2017,600331,,,,
2017,600074,,,,
2017,600145,,,,
2017,600401,,,,
2017,600432,,,,
2017,600485,,,,
2017,600634,,,,
2017,600701,,,,
2017,600747,,,,
2017,600807,,,,
2017,000912,,,,
2017,000007,,,,
2017,000670,,,,
2017,000760,,,,
2017,200168,,,,
2017,000506,,,,
2017,000511,,,,
2017,000626,,,,
2017,000820,,,,
2017,000893,,,,
2017,000979,,,,
2017,000982,,,,
2017,002473,,,,
2017,002200,,,,
2017,002207,,,,
2017,002288,,,,
2017,002018,,,,
2017,002188,,,,
2017,002604,,,,
2017,002069,,,,
2017,002070,,,,
2017,002072,,,,
2017,002122,,,,
2017,002427,,,,
2017,002447,,,,
2017,002513,,,,
2017,002581,,,,
2017,002647,,,,
2017,002650,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
